"PopName" "Year" "Sex" "AgeGroup" "Deaths" "Ex"
"283" "Bayern" 2021 "m" 65 5959 348576
"284" "Bayern" 2021 "m" 70 7842 293808
"285" "Bayern" 2021 "m" 75 9535 226603.5
"286" "Bayern" 2021 "m" 80 15509 217396.5
"287" "Bayern" 2021 "m" 85 12449 93397
"288" "Bayern" 2021 "m" 90 9880 35780
"289" "Bayern" 2022 "f" 0 153 63125.5
"290" "Bayern" 2022 "f" 1 109 1144624.5
"291" "Bayern" 2022 "f" 20 137 753891.5
"292" "Bayern" 2022 "f" 30 128 440754
"293" "Bayern" 2022 "f" 35 199 426666.5
"294" "Bayern" 2022 "f" 40 320 422391
"295" "Bayern" 2022 "f" 45 495 402100
"296" "Bayern" 2022 "f" 50 1052 489944
"297" "Bayern" 2022 "f" 55 1779 535123
"298" "Bayern" 2022 "f" 60 2637 475701
"299" "Bayern" 2022 "f" 65 3561 389374.5
"300" "Bayern" 2022 "f" 70 5017 342439
"301" "Bayern" 2022 "f" 75 6962 265908.5
"302" "Bayern" 2022 "f" 80 14356 294729.5
"303" "Bayern" 2022 "f" 85 17178 164967.5
"304" "Bayern" 2022 "f" 90 22129 85238.5
"305" "Bayern" 2022 "m" 0 191 66381.5
"306" "Bayern" 2022 "m" 1 202 1208603
"307" "Bayern" 2022 "m" 20 393 829792.5
"308" "Bayern" 2022 "m" 30 273 472972.5
"309" "Bayern" 2022 "m" 35 406 444544
"310" "Bayern" 2022 "m" 40 588 423052
"311" "Bayern" 2022 "m" 45 851 399816
"312" "Bayern" 2022 "m" 50 1799 492683.5
"313" "Bayern" 2022 "m" 55 3269 539116
"314" "Bayern" 2022 "m" 60 4711 465620
"315" "Bayern" 2022 "m" 65 6134 359249.5
"316" "Bayern" 2022 "m" 70 7978 299215.5
"317" "Bayern" 2022 "m" 75 9454 221016.5
"318" "Bayern" 2022 "m" 80 15871 217345
"319" "Bayern" 2022 "m" 85 13726 100748.5
"320" "Bayern" 2022 "m" 90 10359 36056.5
"321" "Berlin" 2018 "f" 0 63 19217
"322" "Berlin" 2018 "f" 1 30 298931.5
"323" "Berlin" 2018 "f" 20 55 247129.5
"324" "Berlin" 2018 "f" 30 49 158150.5
"325" "Berlin" 2018 "f" 35 67 137352
"326" "Berlin" 2018 "f" 40 96 110843.5
"327" "Berlin" 2018 "f" 45 162 114577
"328" "Berlin" 2018 "f" 50 348 135111
"329" "Berlin" 2018 "f" 55 550 123734.5
"330" "Berlin" 2018 "f" 60 745 101878.5
"331" "Berlin" 2018 "f" 65 1096 98707
"332" "Berlin" 2018 "f" 70 1372 80560.5
"333" "Berlin" 2018 "f" 75 2566 96377.5
"334" "Berlin" 2018 "f" 80 3169 67935
"335" "Berlin" 2018 "f" 85 3161 32660
"336" "Berlin" 2018 "f" 90 4586 21461.5
"337" "Berlin" 2018 "m" 0 83 20417
"338" "Berlin" 2018 "m" 1 48 316455
"339" "Berlin" 2018 "m" 20 116 244676
"340" "Berlin" 2018 "m" 30 82 162795
"341" "Berlin" 2018 "m" 35 120 143938
"342" "Berlin" 2018 "m" 40 161 116170.5
"343" "Berlin" 2018 "m" 45 299 120159
"344" "Berlin" 2018 "m" 50 630 139333.5
"345" "Berlin" 2018 "m" 55 961 125090
"346" "Berlin" 2018 "m" 60 1261 96279
"347" "Berlin" 2018 "m" 65 1712 84177
"348" "Berlin" 2018 "m" 70 2001 68128
"349" "Berlin" 2018 "m" 75 3271 75844.5
"350" "Berlin" 2018 "m" 80 3211 46354.5
"351" "Berlin" 2018 "m" 85 2271 17854.5
"352" "Berlin" 2018 "m" 90 1558 6862.5
"353" "Berlin" 2019 "f" 0 42 18932
"354" "Berlin" 2019 "f" 1 33 303731.5
"355" "Berlin" 2019 "f" 20 47 243681.5
"356" "Berlin" 2019 "f" 30 47 162719.5
"357" "Berlin" 2019 "f" 35 68 141203.5
"358" "Berlin" 2019 "f" 40 86 114637.5
"359" "Berlin" 2019 "f" 45 147 110108
"360" "Berlin" 2019 "f" 50 346 131330
"361" "Berlin" 2019 "f" 55 497 128632
"362" "Berlin" 2019 "f" 60 682 102989
"363" "Berlin" 2019 "f" 65 992 98890.5
"364" "Berlin" 2019 "f" 70 1264 78375
"365" "Berlin" 2019 "f" 75 2389 95119.5
"366" "Berlin" 2019 "f" 80 3288 72417.5
"367" "Berlin" 2019 "f" 85 3055 34043
"368" "Berlin" 2019 "f" 90 4368 21811.5
"369" "Berlin" 2019 "m" 0 77 20078.5
"370" "Berlin" 2019 "m" 1 41 321026.5
"371" "Berlin" 2019 "m" 20 92 241647
"372" "Berlin" 2019 "m" 30 101 167140.5
"373" "Berlin" 2019 "m" 35 117 147799.5
"374" "Berlin" 2019 "m" 40 180 120005
"375" "Berlin" 2019 "m" 45 306 114679.5
"376" "Berlin" 2019 "m" 50 584 135526
"377" "Berlin" 2019 "m" 55 979 129990
"378" "Berlin" 2019 "m" 60 1201 98757
"379" "Berlin" 2019 "m" 65 1645 84309.5
"380" "Berlin" 2019 "m" 70 1853 65756.5
"381" "Berlin" 2019 "m" 75 3212 75216.5
"382" "Berlin" 2019 "m" 80 3278 49778.5
"383" "Berlin" 2019 "m" 85 2183 19234
"384" "Berlin" 2019 "m" 90 1539 7592.5
"385" "Berlin" 2020 "f" 0 49 18546
"386" "Berlin" 2020 "f" 1 25 306935.5
"387" "Berlin" 2020 "f" 20 38 237363
"388" "Berlin" 2020 "f" 30 42 165530.5
"389" "Berlin" 2020 "f" 35 76 143587
"390" "Berlin" 2020 "f" 40 86 118952
"391" "Berlin" 2020 "f" 45 156 106997.5
"392" "Berlin" 2020 "f" 50 317 126558
"393" "Berlin" 2020 "f" 55 559 131822
"394" "Berlin" 2020 "f" 60 695 105042.5
"395" "Berlin" 2020 "f" 65 1054 97445
"396" "Berlin" 2020 "f" 70 1324 80471
"397" "Berlin" 2020 "f" 75 2390 90014
"398" "Berlin" 2020 "f" 80 3536 75576
"399" "Berlin" 2020 "f" 85 3434 36865
"400" "Berlin" 2020 "f" 90 4817 21929
"401" "Berlin" 2020 "m" 0 59 19662
"402" "Berlin" 2020 "m" 1 41 323978
"403" "Berlin" 2020 "m" 20 90 236237.5
"404" "Berlin" 2020 "m" 30 91 169445.5
"405" "Berlin" 2020 "m" 35 150 150308
"406" "Berlin" 2020 "m" 40 187 123967
"407" "Berlin" 2020 "m" 45 252 110746.5
"408" "Berlin" 2020 "m" 50 609 130497.5
"409" "Berlin" 2020 "m" 55 1053 132884.5
"410" "Berlin" 2020 "m" 60 1396 102002.5
"411" "Berlin" 2020 "m" 65 1770 83761
"412" "Berlin" 2020 "m" 70 1936 66666.5
"413" "Berlin" 2020 "m" 75 3160 71134.5
"414" "Berlin" 2020 "m" 80 3683 52244.5
"415" "Berlin" 2020 "m" 85 2703 21489
"416" "Berlin" 2020 "m" 90 1864 8131
"417" "Berlin" 2021 "f" 0 45 18427.5
"418" "Berlin" 2021 "f" 1 30 309634
"419" "Berlin" 2021 "f" 20 45 233635
"420" "Berlin" 2021 "f" 30 48 165200
"421" "Berlin" 2021 "f" 35 72 145200.5
"422" "Berlin" 2021 "f" 40 95 123210.5
"423" "Berlin" 2021 "f" 45 177 105059.5
"424" "Berlin" 2021 "f" 50 259 121720
"425" "Berlin" 2021 "f" 55 538 133185.5
"426" "Berlin" 2021 "f" 60 688 108090
"427" "Berlin" 2021 "f" 65 1001 95583.5
"428" "Berlin" 2021 "f" 70 1453 85667.5
"429" "Berlin" 2021 "f" 75 2186 81083.5
"430" "Berlin" 2021 "f" 80 3564 78498.5
"431" "Berlin" 2021 "f" 85 3501 40005.5
"432" "Berlin" 2021 "f" 90 4620 21647
"433" "Berlin" 2021 "m" 0 68 19486.5
"434" "Berlin" 2021 "m" 1 39 326702
"435" "Berlin" 2021 "m" 20 105 232617.5
"436" "Berlin" 2021 "m" 30 93 169413
"437" "Berlin" 2021 "m" 35 125 152401.5
"438" "Berlin" 2021 "m" 40 190 128091
"439" "Berlin" 2021 "m" 45 304 107966
"440" "Berlin" 2021 "m" 50 563 125356
"441" "Berlin" 2021 "m" 55 1086 133970
"442" "Berlin" 2021 "m" 60 1432 105414
"443" "Berlin" 2021 "m" 65 1789 83221.5
"444" "Berlin" 2021 "m" 70 2094 69799
"445" "Berlin" 2021 "m" 75 2829 63909.5
"446" "Berlin" 2021 "m" 80 3825 54595
"447" "Berlin" 2021 "m" 85 2842 23631.5
"448" "Berlin" 2021 "m" 90 2000 8358
"449" "Berlin" 2022 "f" 0 43 17653
"450" "Berlin" 2022 "f" 1 32 317316.5
"451" "Berlin" 2022 "f" 20 39 239634
"452" "Berlin" 2022 "f" 30 41 164927
"453" "Berlin" 2022 "f" 35 77 149598
"454" "Berlin" 2022 "f" 40 96 128384
"455" "Berlin" 2022 "f" 45 127 106324.5
"456" "Berlin" 2022 "f" 50 283 117613
"457" "Berlin" 2022 "f" 55 519 132970.5
"458" "Berlin" 2022 "f" 60 795 112824.5
"459" "Berlin" 2022 "f" 65 1113 94947.5
"460" "Berlin" 2022 "f" 70 1545 89387.5
"461" "Berlin" 2022 "f" 75 2021 74431.5
"462" "Berlin" 2022 "f" 80 3870 79842.5
"463" "Berlin" 2022 "f" 85 4004 43734
"464" "Berlin" 2022 "f" 90 4966 21262.5
"465" "Berlin" 2022 "m" 0 57 18809.5
"466" "Berlin" 2022 "m" 1 44 334790.5
"467" "Berlin" 2022 "m" 20 104 237564.5
"468" "Berlin" 2022 "m" 30 82 169294
"469" "Berlin" 2022 "m" 35 147 156817
"470" "Berlin" 2022 "m" 40 181 132895
"471" "Berlin" 2022 "m" 45 235 107919.5
"472" "Berlin" 2022 "m" 50 527 120491.5
"473" "Berlin" 2022 "m" 55 1032 133414.5
"474" "Berlin" 2022 "m" 60 1425 109697.5
"475" "Berlin" 2022 "m" 65 1747 83687
"476" "Berlin" 2022 "m" 70 2205 71687
"477" "Berlin" 2022 "m" 75 2773 58235.5
"478" "Berlin" 2022 "m" 80 3988 55874.5
"479" "Berlin" 2022 "m" 85 3169 25891.5
"480" "Berlin" 2022 "m" 90 2285 8442
"481" "Brandenburg" 2018 "f" 0 16 9912.5
"482" "Brandenburg" 2018 "f" 1 30 198707.5
"483" "Brandenburg" 2018 "f" 20 18 90687
"484" "Brandenburg" 2018 "f" 30 23 73822
"485" "Brandenburg" 2018 "f" 35 49 76801
"486" "Brandenburg" 2018 "f" 40 60 68306
"487" "Brandenburg" 2018 "f" 45 134 82871
"488" "Brandenburg" 2018 "f" 50 267 110174
"489" "Brandenburg" 2018 "f" 55 454 115929.5
"490" "Brandenburg" 2018 "f" 60 580 99756.5
"491" "Brandenburg" 2018 "f" 65 820 85799
"492" "Brandenburg" 2018 "f" 70 822 59126
"493" "Brandenburg" 2018 "f" 75 2110 85378.5
"494" "Brandenburg" 2018 "f" 80 3183 63293
"495" "Brandenburg" 2018 "f" 85 3513 32341
"496" "Brandenburg" 2018 "f" 90 4103 17358.5
"497" "Brandenburg" 2018 "m" 0 28 10502
"498" "Brandenburg" 2018 "m" 1 34 212284.5
"499" "Brandenburg" 2018 "m" 20 62 102687
"500" "Brandenburg" 2018 "m" 30 57 77642
"501" "Brandenburg" 2018 "m" 35 87 81298
"502" "Brandenburg" 2018 "m" 40 118 71898
"503" "Brandenburg" 2018 "m" 45 231 86436.5
