"PopName" "Year" "Sex" "AgeGroup" "Deaths"
"409" "Niedersachsen" 2020 "m" 55 2340
"410" "Niedersachsen" 2020 "m" 60 3253
"411" "Niedersachsen" 2020 "m" 65 4254
"412" "Niedersachsen" 2020 "m" 70 4832
"413" "Niedersachsen" 2020 "m" 75 7049
"414" "Niedersachsen" 2020 "m" 80 10017
"415" "Niedersachsen" 2020 "m" 85 7766
"416" "Niedersachsen" 2020 "m" 90 5827
"417" "Niedersachsen" 2021 "f" 0 106
"418" "Niedersachsen" 2021 "f" 1 69
"419" "Niedersachsen" 2021 "f" 20 80
"420" "Niedersachsen" 2021 "f" 30 84
"421" "Niedersachsen" 2021 "f" 35 133
"422" "Niedersachsen" 2021 "f" 40 237
"423" "Niedersachsen" 2021 "f" 45 387
"424" "Niedersachsen" 2021 "f" 50 813
"425" "Niedersachsen" 2021 "f" 55 1300
"426" "Niedersachsen" 2021 "f" 60 1952
"427" "Niedersachsen" 2021 "f" 65 2602
"428" "Niedersachsen" 2021 "f" 70 3380
"429" "Niedersachsen" 2021 "f" 75 4795
"430" "Niedersachsen" 2021 "f" 80 9451
"431" "Niedersachsen" 2021 "f" 85 10411
"432" "Niedersachsen" 2021 "f" 90 13776
"433" "Niedersachsen" 2021 "m" 0 142
"434" "Niedersachsen" 2021 "m" 1 130
"435" "Niedersachsen" 2021 "m" 20 253
"436" "Niedersachsen" 2021 "m" 30 171
"437" "Niedersachsen" 2021 "m" 35 273
"438" "Niedersachsen" 2021 "m" 40 398
"439" "Niedersachsen" 2021 "m" 45 659
"440" "Niedersachsen" 2021 "m" 50 1340
"441" "Niedersachsen" 2021 "m" 55 2488
"442" "Niedersachsen" 2021 "m" 60 3490
"443" "Niedersachsen" 2021 "m" 65 4395
"444" "Niedersachsen" 2021 "m" 70 5555
"445" "Niedersachsen" 2021 "m" 75 6523
"446" "Niedersachsen" 2021 "m" 80 10354
"447" "Niedersachsen" 2021 "m" 85 8170
"448" "Niedersachsen" 2021 "m" 90 6048
"449" "Niedersachsen" 2022 "f" 0 102
"450" "Niedersachsen" 2022 "f" 1 79
"451" "Niedersachsen" 2022 "f" 20 108
"452" "Niedersachsen" 2022 "f" 30 94
"453" "Niedersachsen" 2022 "f" 35 150
"454" "Niedersachsen" 2022 "f" 40 200
"455" "Niedersachsen" 2022 "f" 45 373
"456" "Niedersachsen" 2022 "f" 50 727
"457" "Niedersachsen" 2022 "f" 55 1383
"458" "Niedersachsen" 2022 "f" 60 2040
"459" "Niedersachsen" 2022 "f" 65 2729
"460" "Niedersachsen" 2022 "f" 70 3772
"461" "Niedersachsen" 2022 "f" 75 4888
"462" "Niedersachsen" 2022 "f" 80 10143
"463" "Niedersachsen" 2022 "f" 85 11813
"464" "Niedersachsen" 2022 "f" 90 15584
"465" "Niedersachsen" 2022 "m" 0 147
"466" "Niedersachsen" 2022 "m" 1 132
"467" "Niedersachsen" 2022 "m" 20 269
"468" "Niedersachsen" 2022 "m" 30 186
"469" "Niedersachsen" 2022 "m" 35 263
"470" "Niedersachsen" 2022 "m" 40 414
"471" "Niedersachsen" 2022 "m" 45 597
"472" "Niedersachsen" 2022 "m" 50 1270
"473" "Niedersachsen" 2022 "m" 55 2449
"474" "Niedersachsen" 2022 "m" 60 3600
"475" "Niedersachsen" 2022 "m" 65 4599
"476" "Niedersachsen" 2022 "m" 70 5815
"477" "Niedersachsen" 2022 "m" 75 6713
"478" "Niedersachsen" 2022 "m" 80 11165
"479" "Niedersachsen" 2022 "m" 85 9710
"480" "Niedersachsen" 2022 "m" 90 6893
"481" "Bremen" 2018 "f" 0 18
"482" "Bremen" 2018 "f" 1 4
"483" "Bremen" 2018 "f" 20 12
"484" "Bremen" 2018 "f" 30 8
"485" "Bremen" 2018 "f" 35 15
"486" "Bremen" 2018 "f" 40 25
"487" "Bremen" 2018 "f" 45 35
"488" "Bremen" 2018 "f" 50 78
"489" "Bremen" 2018 "f" 55 117
"490" "Bremen" 2018 "f" 60 190
"491" "Bremen" 2018 "f" 65 221
"492" "Bremen" 2018 "f" 70 311
"493" "Bremen" 2018 "f" 75 497
"494" "Bremen" 2018 "f" 80 689
"495" "Bremen" 2018 "f" 85 759
"496" "Bremen" 2018 "f" 90 1097
"497" "Bremen" 2018 "m" 0 20
"498" "Bremen" 2018 "m" 1 17
"499" "Bremen" 2018 "m" 20 23
"500" "Bremen" 2018 "m" 30 22
"501" "Bremen" 2018 "m" 35 27
"502" "Bremen" 2018 "m" 40 44
"503" "Bremen" 2018 "m" 45 77
"504" "Bremen" 2018 "m" 50 159
"505" "Bremen" 2018 "m" 55 231
"506" "Bremen" 2018 "m" 60 251
"507" "Bremen" 2018 "m" 65 376
"508" "Bremen" 2018 "m" 70 431
"509" "Bremen" 2018 "m" 75 703
"510" "Bremen" 2018 "m" 80 742
"511" "Bremen" 2018 "m" 85 473
"512" "Bremen" 2018 "m" 90 396
"513" "Bremen" 2019 "f" 0 15
"514" "Bremen" 2019 "f" 1 10
"515" "Bremen" 2019 "f" 20 7
"516" "Bremen" 2019 "f" 30 2
"517" "Bremen" 2019 "f" 35 11
"518" "Bremen" 2019 "f" 40 11
"519" "Bremen" 2019 "f" 45 30
"520" "Bremen" 2019 "f" 50 90
"521" "Bremen" 2019 "f" 55 106
"522" "Bremen" 2019 "f" 60 149
"523" "Bremen" 2019 "f" 65 220
"524" "Bremen" 2019 "f" 70 287
"525" "Bremen" 2019 "f" 75 454
"526" "Bremen" 2019 "f" 80 694
"527" "Bremen" 2019 "f" 85 682
"528" "Bremen" 2019 "f" 90 1053
"529" "Bremen" 2019 "m" 0 16
"530" "Bremen" 2019 "m" 1 6
"531" "Bremen" 2019 "m" 20 19
"532" "Bremen" 2019 "m" 30 22
"533" "Bremen" 2019 "m" 35 26
"534" "Bremen" 2019 "m" 40 32
"535" "Bremen" 2019 "m" 45 58
"536" "Bremen" 2019 "m" 50 127
"537" "Bremen" 2019 "m" 55 225
"538" "Bremen" 2019 "m" 60 276
"539" "Bremen" 2019 "m" 65 353
"540" "Bremen" 2019 "m" 70 412
"541" "Bremen" 2019 "m" 75 620
"542" "Bremen" 2019 "m" 80 736
"543" "Bremen" 2019 "m" 85 523
"544" "Bremen" 2019 "m" 90 432
"545" "Bremen" 2020 "f" 0 19
"546" "Bremen" 2020 "f" 1 7
"547" "Bremen" 2020 "f" 20 13
"548" "Bremen" 2020 "f" 30 9
"549" "Bremen" 2020 "f" 35 17
"550" "Bremen" 2020 "f" 40 22
"551" "Bremen" 2020 "f" 45 27
"552" "Bremen" 2020 "f" 50 77
"553" "Bremen" 2020 "f" 55 112
"554" "Bremen" 2020 "f" 60 164
"555" "Bremen" 2020 "f" 65 212
"556" "Bremen" 2020 "f" 70 293
"557" "Bremen" 2020 "f" 75 446
"558" "Bremen" 2020 "f" 80 781
"559" "Bremen" 2020 "f" 85 765
"560" "Bremen" 2020 "f" 90 1100
"561" "Bremen" 2020 "m" 0 17
"562" "Bremen" 2020 "m" 1 6
"563" "Bremen" 2020 "m" 20 21
"564" "Bremen" 2020 "m" 30 15
"565" "Bremen" 2020 "m" 35 31
"566" "Bremen" 2020 "m" 40 44
"567" "Bremen" 2020 "m" 45 75
"568" "Bremen" 2020 "m" 50 138
"569" "Bremen" 2020 "m" 55 230
"570" "Bremen" 2020 "m" 60 332
"571" "Bremen" 2020 "m" 65 348
"572" "Bremen" 2020 "m" 70 427
"573" "Bremen" 2020 "m" 75 620
"574" "Bremen" 2020 "m" 80 779
"575" "Bremen" 2020 "m" 85 566
"576" "Bremen" 2020 "m" 90 438
"577" "Bremen" 2021 "f" 0 8
"578" "Bremen" 2021 "f" 1 5
"579" "Bremen" 2021 "f" 20 7
"580" "Bremen" 2021 "f" 30 11
"581" "Bremen" 2021 "f" 35 8
"582" "Bremen" 2021 "f" 40 19
"583" "Bremen" 2021 "f" 45 37
