"PopName" "Year" "Sex" "AgeGroup" "Population"
"272" "SchleswigHolstein" 2018 "f" 89 5078
"273" "SchleswigHolstein" 2018 "f" 90 20793
"274" "SchleswigHolstein" 2018 "m" 0 12928
"275" "SchleswigHolstein" 2018 "m" 1 13275
"276" "SchleswigHolstein" 2018 "m" 2 13388
"277" "SchleswigHolstein" 2018 "m" 3 13125
"278" "SchleswigHolstein" 2018 "m" 4 12993
"279" "SchleswigHolstein" 2018 "m" 5 12733
"280" "SchleswigHolstein" 2018 "m" 6 13029
"281" "SchleswigHolstein" 2018 "m" 7 12561
"282" "SchleswigHolstein" 2018 "m" 8 13241
"283" "SchleswigHolstein" 2018 "m" 9 13162
"284" "SchleswigHolstein" 2018 "m" 10 13274
"285" "SchleswigHolstein" 2018 "m" 11 13633
"286" "SchleswigHolstein" 2018 "m" 12 13411
"287" "SchleswigHolstein" 2018 "m" 13 13435
"288" "SchleswigHolstein" 2018 "m" 14 14052
"289" "SchleswigHolstein" 2018 "m" 15 14111
"290" "SchleswigHolstein" 2018 "m" 16 14563
"291" "SchleswigHolstein" 2018 "m" 17 15052
"292" "SchleswigHolstein" 2018 "m" 18 16151
"293" "SchleswigHolstein" 2018 "m" 19 16917
"294" "SchleswigHolstein" 2018 "m" 20 16357
"295" "SchleswigHolstein" 2018 "m" 21 17195
"296" "SchleswigHolstein" 2018 "m" 22 16610
"297" "SchleswigHolstein" 2018 "m" 23 16045
"298" "SchleswigHolstein" 2018 "m" 24 16479
"299" "SchleswigHolstein" 2018 "m" 25 16527
"300" "SchleswigHolstein" 2018 "m" 26 16599
"301" "SchleswigHolstein" 2018 "m" 27 16836
"302" "SchleswigHolstein" 2018 "m" 28 17792
"303" "SchleswigHolstein" 2018 "m" 29 17210
"304" "SchleswigHolstein" 2018 "m" 30 17847
"305" "SchleswigHolstein" 2018 "m" 31 17388
"306" "SchleswigHolstein" 2018 "m" 32 16608
"307" "SchleswigHolstein" 2018 "m" 33 16004
"308" "SchleswigHolstein" 2018 "m" 34 15943
"309" "SchleswigHolstein" 2018 "m" 35 16185
"310" "SchleswigHolstein" 2018 "m" 36 16497
"311" "SchleswigHolstein" 2018 "m" 37 16533
"312" "SchleswigHolstein" 2018 "m" 38 16830
"313" "SchleswigHolstein" 2018 "m" 39 16031
"314" "SchleswigHolstein" 2018 "m" 40 16388
"315" "SchleswigHolstein" 2018 "m" 41 16108
"316" "SchleswigHolstein" 2018 "m" 42 16163
"317" "SchleswigHolstein" 2018 "m" 43 15975
"318" "SchleswigHolstein" 2018 "m" 44 16012
"319" "SchleswigHolstein" 2018 "m" 45 16545
"320" "SchleswigHolstein" 2018 "m" 46 17935
"321" "SchleswigHolstein" 2018 "m" 47 20227
"322" "SchleswigHolstein" 2018 "m" 48 21256
"323" "SchleswigHolstein" 2018 "m" 49 23596
"324" "SchleswigHolstein" 2018 "m" 50 25026
"325" "SchleswigHolstein" 2018 "m" 51 26002
"326" "SchleswigHolstein" 2018 "m" 52 26058
"327" "SchleswigHolstein" 2018 "m" 53 25436
"328" "SchleswigHolstein" 2018 "m" 54 26002
"329" "SchleswigHolstein" 2018 "m" 55 24921
"330" "SchleswigHolstein" 2018 "m" 56 23717
"331" "SchleswigHolstein" 2018 "m" 57 22998
"332" "SchleswigHolstein" 2018 "m" 58 21862
"333" "SchleswigHolstein" 2018 "m" 59 21153
"334" "SchleswigHolstein" 2018 "m" 60 19917
"335" "SchleswigHolstein" 2018 "m" 61 18967
"336" "SchleswigHolstein" 2018 "m" 62 17911
"337" "SchleswigHolstein" 2018 "m" 63 17334
"338" "SchleswigHolstein" 2018 "m" 64 17034
"339" "SchleswigHolstein" 2018 "m" 65 16422
"340" "SchleswigHolstein" 2018 "m" 66 16186
"341" "SchleswigHolstein" 2018 "m" 67 16226
"342" "SchleswigHolstein" 2018 "m" 68 16137
"343" "SchleswigHolstein" 2018 "m" 69 16088
"344" "SchleswigHolstein" 2018 "m" 70 15444
"345" "SchleswigHolstein" 2018 "m" 71 14192
"346" "SchleswigHolstein" 2018 "m" 72 13081
